# Time-averaged data for fix myat1
# TimeStep v_kenergy v_penergy v_pressure v_tempera v_dense v_entha
2770 10.2133 -257.989 -2115.54 317.323 0.896305 -261.835
2780 10.6236 -258.126 -2111.44 330.07 0.896305 -261.535
2790 10.515 -258.24 -2133.43 326.698 0.896305 -261.904
2800 10.6263 -258.382 -2114.98 330.156 0.896305 -261.812
2810 10.5641 -258.409 -2095.86 328.224 0.896305 -261.774
2820 10.9001 -258.238 -2010.89 338.663 0.896305 -260.702
2830 10.1048 -257.815 -2015.76 313.951 0.896305 -261.107
2840 10.2071 -257.409 -1932.29 317.13 0.896305 -260.043
2850 9.98464 -257.225 -1913.65 310.219 0.896305 -259.958
2860 10.0294 -257.234 -1930.83 311.609 0.896305 -260.037
2870 9.78458 -257.478 -2057.21 304.003 0.896305 -261.366
2880 10.2917 -257.975 -2189.81 319.758 0.896305 -262.237
2890 10.1985 -258.46 -2346.49 316.864 0.896305 -263.856
2900 10.3406 -258.727 -2405.76 321.279 0.896305 -264.375
2910 9.4507 -258.516 -2390.29 293.63 0.896305 -264.951
2920 9.02945 -257.98 -2247.84 280.542 0.896305 -263.889
2930 9.48347 -257.547 -2083.31 294.648 0.896305 -261.909
2940 9.402 -257.567 -2125.42 292.117 0.896305 -262.29
2950 9.82007 -258.021 -2239.15 305.106 0.896305 -263.082
2960 10.8731 -258.399 -2234.85 337.823 0.896305 -262.379
2970 10.8876 -258.401 -2155.46 338.272 0.896305 -261.838
2980 10.7359 -258.286 -2072.29 333.559 0.896305 -261.322
2990 10.5391 -258.429 -2086.48 327.447 0.896305 -261.756
3000 10.7949 -258.747 -2134.74 335.394 0.896305 -262.139
3010 11.0512 -258.814 -2126.17 343.357 0.896305 -261.893
3020 10.7631 -258.481 -2067.95 334.405 0.896305 -261.461
3030 10.271 -258.034 -1998.4 319.116 0.896305 -261.044
3040 9.80234 -257.715 -1975.98 304.555 0.896305 -261.045
3050 9.92146 -257.419 -1896.58 308.256 0.896305 -260.102
3060 9.34189 -257.094 -1823.35 290.249 0.896305 -259.87
3070 9.95364 -257.141 -1802.85 309.256 0.896305 -259.169
3080 10.2484 -257.516 -1906.76 318.413 0.896305 -259.94
3090 10.5848 -257.918 -1992.13 328.866 0.896305 -260.572
3100 10.6913 -258.166 -2048.93 332.173 0.896305 -261.091
3110 10.8164 -258.259 -2039.18 336.06 0.896305 -260.995
3120 11.1099 -258.208 -1954.13 345.182 0.896305 -260.085
3130 10.9218 -258.034 -1907.57 339.337 0.896305 -259.79
3140 10.7135 -257.772 -1897.51 332.864 0.896305 -259.67
3150 10.4468 -257.654 -1946.45 324.579 0.896305 -260.144
3160 10.6338 -257.724 -2011.59 330.388 0.896305 -260.459
3170 10.5539 -257.944 -2117.04 327.907 0.896305 -261.46
3180 10.7634 -258.137 -2132.24 334.413 0.896305 -261.545
3190 10.7069 -258.158 -2141.44 332.661 0.896305 -261.683
3200 10.7428 -258.028 -2058.73 333.776 0.896305 -260.968
3210 10.5935 -257.85 -1971.62 329.137 0.896305 -260.36
3220 10.2983 -257.774 -1957.3 319.964 0.896305 -260.484
3230 11.0099 -257.899 -1922.03 342.074 0.896305 -259.663
3240 10.5813 -258.101 -2048.19 328.759 0.896305 -261.131
3250 10.511 -258.261 -2124.67 326.573 0.896305 -261.871
3260 10.1191 -258.331 -2167.04 314.397 0.896305 -262.614
3270 9.82055 -258.347 -2164.21 305.121 0.896305 -262.91
3280 10.0363 -258.357 -2115.86 311.825 0.896305 -262.383
3290 10.1362 -258.258 -2028.52 314.929 0.896305 -261.603
3300 10.0564 -258.13 -1985.69 312.447 0.896305 -261.27
3310 9.94846 -258.148 -2015.97 309.095 0.896305 -261.597
3320 10.1487 -258.105 -1992.73 315.316 0.896305 -261.2
3330 10.0506 -257.959 -1987.88 312.268 0.896305 -261.12
3340 9.50206 -257.715 -2013.02 295.225 0.896305 -261.591
3350 9.74701 -257.436 -1960.18 302.836 0.896305 -260.716
3360 9.82071 -257.452 -2019.66 305.126 0.896305 -261.053
3370 10.4057 -257.835 -2125.68 323.301 0.896305 -261.556
3380 11.0068 -258.229 -2198.13 341.978 0.896305 -261.831
3390 10.9133 -258.32 -2189.74 339.073 0.896305 -261.96
3400 10.666 -258.119 -2098.22 331.388 0.896305 -261.398
3410 10.7137 -257.92 -2009.84 332.869 0.896305 -260.564
3420 10.9941 -257.782 -1917.26 341.581 0.896305 -259.53
3430 10.6037 -257.603 -1871.51 329.453 0.896305 -259.437
3440 10.2496 -257.399 -1834.06 318.452 0.896305 -259.339
3450 9.73317 -257.171 -1798.99 302.406 0.896305 -259.394
3460 9.82973 -257.014 -1730.89 305.406 0.896305 -258.687
3470 9.8015 -257.109 -1766.09 304.529 0.896305 -259.045
3480 9.71467 -257.422 -1853.42 301.831 0.896305 -260.025
3490 9.85728 -257.723 -1935.77 306.262 0.896305 -260.73
3500 10.1189 -257.831 -1977.69 314.39 0.896305 -260.855
3510 10.7687 -257.831 -1887.34 334.58 0.896305 -259.605
3520 11.1832 -258 -1881.81 347.459 0.896305 -259.324
3530 11.5271 -258.101 -1884.29 358.143 0.896305 -259.097
3540 10.5517 -257.766 -1896 327.837 0.896305 -259.815
3550 10.569 -257.252 -1755.04 328.375 0.896305 -258.347
3560 10.5037 -256.867 -1705.72 326.346 0.896305 -257.7
3570 10.2902 -256.666 -1672.64 319.711 0.896305 -257.493
3580 9.91622 -256.61 -1717.25 308.093 0.896305 -258.106
3590 10.4923 -256.7 -1663 325.992 0.896305 -257.26
3600 11.253 -256.937 -1617.5 349.628 0.896305 -256.433
3610 11.0869 -257.096 -1647.75 344.467 0.896305 -256.96
3620 10.2106 -257.055 -1669.57 317.24 0.896305 -257.941
3630 10.27 -257.077 -1655.26 319.085 0.896305 -257.808
3640 10.7953 -257.176 -1656.61 335.407 0.896305 -257.39
3650 10.5566 -257.272 -1730.72 327.99 0.896305 -258.218
3660 10.8166 -257.37 -1748.88 336.067 0.896305 -258.176
3670 10.7457 -257.5 -1844.72 333.863 0.896305 -259.014
3680 10.9384 -257.652 -1904.17 339.853 0.896305 -259.369
3690 10.9959 -257.794 -1954.54 341.639 0.896305 -259.788
3700 10.9255 -257.877 -1973.4 339.451 0.896305 -260.067
3710 11.2828 -257.893 -1924.07 350.553 0.896305 -259.397
3720 10.872 -257.809 -1939.5 337.789 0.896305 -259.827
3730 10.2919 -257.605 -1949.03 319.766 0.896305 -260.266
3740 9.94263 -257.354 -1937.91 308.914 0.896305 -260.29
3750 9.6611 -257.175 -1953.8 300.167 0.896305 -260.499
3760 9.74216 -257.244 -2027.6 302.685 0.896305 -260.977
3770 10.195 -257.49 -2134.73 316.754 0.896305 -261.482
3780 10.1841 -257.648 -2203.97 316.415 0.896305 -262.111
3790 10.4032 -257.596 -2194.55 323.223 0.896305 -261.778
3800 10.265 -257.327 -2104.01 318.93 0.896305 -261.045
3810 9.57115 -256.928 -2002.02 297.372 0.896305 -260.662
3820 9.33845 -256.719 -1912.79 290.142 0.896305 -260.093
3830 9.48705 -256.78 -1889.63 294.759 0.896305 -259.851
3840 10.1477 -256.958 -1845.58 315.284 0.896305 -259.076
3850 10.7428 -257.134 -1851.17 333.775 0.896305 -258.694
3860 11.0024 -257.244 -1895.14 341.839 0.896305 -258.836
3870 11.0004 -257.129 -1851.42 341.78 0.896305 -258.433
3880 10.7116 -256.9 -1757.13 332.806 0.896305 -257.866
3890 10.5544 -256.819 -1730.04 327.923 0.896305 -257.762
3900 10.6524 -256.859 -1679.56 330.965 0.896305 -257.369
3910 10.805 -256.949 -1638.11 335.708 0.896305 -257.031
3920 10.7362 -257.002 -1625.53 333.571 0.896305 -257.069
3930 10.415 -257.07 -1663.29 323.591 0.896305 -257.71
3940 10.276 -257.229 -1756.04 319.272 0.896305 -258.624
3950 10.3814 -257.381 -1833.98 322.546 0.896305 -259.188
3960 10.0865 -257.353 -1848.33 313.384 0.896305 -259.551
3970 10.1423 -257.153 -1778.59 315.117 0.896305 -258.831
3980 9.97704 -256.98 -1739.59 309.983 0.896305 -258.565
3990 10.3446 -256.964 -1718.94 321.403 0.896305 -258.044
4000 10.6162 -257.034 -1734.61 329.84 0.896305 -257.946
4010 10.235 -257.145 -1796 317.998 0.896305 -258.847
4020 10.7918 -257.339 -1803.41 335.296 0.896305 -258.532
4030 10.35 -257.575 -1932.55 321.57 0.896305 -260.068
4040 9.85763 -257.743 -1994.63 306.273 0.896305 -261.141
4050 10.6682 -257.809 -1908.53 331.457 0.896305 -259.824
4060 10.8999 -257.714 -1850.5 338.656 0.896305 -259.112
4070 10.3416 -257.642 -1894.39 321.308 0.896305 -259.891
4080 10.5712 -257.76 -1957.99 328.442 0.896305 -260.202
4090 9.93515 -257.799 -2040.21 308.681 0.896305 -261.423
4100 10.0932 -257.746 -1983.09 313.593 0.896305 -260.833
4110 10.213 -257.866 -1997.13 317.315 0.896305 -260.926
4120 10.4846 -258.011 -2001.02 325.752 0.896305 -260.825
4130 10.5462 -258.157 -2026.37 327.667 0.896305 -261.078
4140 10.268 -258.329 -2130.04 319.023 0.896305 -262.217
4150 10.2815 -258.38 -2150.08 319.443 0.896305 -262.388
4160 10.2687 -258.399 -2172.72 319.045 0.896305 -262.57
4170 10.1781 -258.495 -2266.77 316.228 0.896305 -263.382
4180 10.2702 -258.6 -2317.02 319.091 0.896305 -263.729
4190 10.2312 -258.575 -2339.74 317.88 0.896305 -263.894
4200 9.91042 -258.29 -2292.19 307.913 0.896305 -263.614
4210 9.11839 -257.841 -2242.87 283.305 0.896305 -263.628
